"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"HUN","QGDP","TOT","PC_CHGPP","Q","2019-Q1",1.620558047,
"HUN","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.752325123,
"HUN","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.959587026,
"HUN","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.634506772,
"HUN","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-0.351820843,
"HUN","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-14.5825665,
"HUN","QGDP","TOT","PC_CHGPP","Q","2020-Q3",11.38472413,
"HUN","QGDP","TOT","PC_CHGPP","Q","2020-Q4",1.099997034,
"IND","QGDP","TOT","PC_CHGPP","Q","2019-Q1",1.41451,
"IND","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.90548,
"IND","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.83647,
"IND","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.86096,
"IND","QGDP","TOT","PC_CHGPP","Q","2020-Q1",0.65894,
"IND","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-25.2481,
"IND","QGDP","TOT","PC_CHGPP","Q","2020-Q3",21.94015,
"ZAF","QGDP","TOT","PC_CHGPP","Q","2019-Q1",-0.803968545,
"ZAF","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.816710677,
"ZAF","QGDP","TOT","PC_CHGPP","Q","2019-Q3",-0.209579097,
"ZAF","QGDP","TOT","PC_CHGPP","Q","2019-Q4",-0.362879287,
"ZAF","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-0.422548271,
"ZAF","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-16.641962996,
"ZAF","QGDP","TOT","PC_CHGPP","Q","2020-Q3",13.530993656,
"GRC","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.918650638,"P"
"GRC","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.512949379,"P"
"GRC","QGDP","TOT","PC_CHGPP","Q","2019-Q3",-0.682023896,"P"
"GRC","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.473879523,"P"
"GRC","QGDP","TOT","PC_CHGPP","Q","2020-Q1",0.129790373,"P"
"GRC","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-14.14776204,"P"
"GRC","QGDP","TOT","PC_CHGPP","Q","2020-Q3",2.290037872,"E"
"ROU","QGDP","TOT","PC_CHGPP","Q","2019-Q1",1.913975601,"P"
"ROU","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.386355225,"P"
"ROU","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.865542667,"P"
"ROU","QGDP","TOT","PC_CHGPP","Q","2019-Q4",1.144696959,"P"
"ROU","QGDP","TOT","PC_CHGPP","Q","2020-Q1",0.170785544,"P"
"ROU","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-12.15886766,"P"
"ROU","QGDP","TOT","PC_CHGPP","Q","2020-Q3",6.057459147,"P"
"ROU","QGDP","TOT","PC_CHGPP","Q","2020-Q4",5.300335926,"P"
