LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
DNK,QGDP,TOT,PC_CHGPP,Q,2019-Q1,0.78660544700000001,
DNK,QGDP,TOT,PC_CHGPP,Q,2019-Q2,1.0461449199999999,
DNK,QGDP,TOT,PC_CHGPP,Q,2019-Q3,0.51021933600000002,
DNK,QGDP,TOT,PC_CHGPP,Q,2019-Q4,0.015317198000000001,
DNK,QGDP,TOT,PC_CHGPP,Q,2020-Q1,-1.5146924669999999,
DNK,QGDP,TOT,PC_CHGPP,Q,2020-Q2,-7.0712457479999999,
DNK,QGDP,TOT,PC_CHGPP,Q,2020-Q3,5.2227829049999999,
DNK,QGDP,TOT,PC_CHGPP,Q,2020-Q4,0.59998189099999999,
NOR,QGDP,TOT,PC_CHGPP,Q,2019-Q1,-0.13182796199999999,
NOR,QGDP,TOT,PC_CHGPP,Q,2019-Q2,0.158514239,
NOR,QGDP,TOT,PC_CHGPP,Q,2019-Q3,-0.043670414999999997,
NOR,QGDP,TOT,PC_CHGPP,Q,2019-Q4,1.734618169,
NOR,QGDP,TOT,PC_CHGPP,Q,2020-Q1,-1.4229919289999999,
NOR,QGDP,TOT,PC_CHGPP,Q,2020-Q2,-4.5996746589999997,
NOR,QGDP,TOT,PC_CHGPP,Q,2020-Q3,4.4585786409999999,
NOR,QGDP,TOT,PC_CHGPP,Q,2020-Q4,0.63605962800000004,
LUX,QGDP,TOT,PC_CHGPP,Q,2019-Q1,0.0083808289999999994,
LUX,QGDP,TOT,PC_CHGPP,Q,2019-Q2,1.8623008059999999,
LUX,QGDP,TOT,PC_CHGPP,Q,2019-Q3,0.83934556199999999,
LUX,QGDP,TOT,PC_CHGPP,Q,2019-Q4,0.23806767300000001,
LUX,QGDP,TOT,PC_CHGPP,Q,2020-Q1,-1.45679319,
LUX,QGDP,TOT,PC_CHGPP,Q,2020-Q2,-7.4100432109999996,
LUX,QGDP,TOT,PC_CHGPP,Q,2020-Q3,9.8437454889999998,
IRL,QGDP,TOT,PC_CHGPP,Q,2019-Q1,-0.48461187100000003,
IRL,QGDP,TOT,PC_CHGPP,Q,2019-Q2,4.9449443300000002,
IRL,QGDP,TOT,PC_CHGPP,Q,2019-Q3,-0.884237889,
IRL,QGDP,TOT,PC_CHGPP,Q,2019-Q4,4.2654857149999996,
IRL,QGDP,TOT,PC_CHGPP,Q,2020-Q1,-3.5270679789999999,
IRL,QGDP,TOT,PC_CHGPP,Q,2020-Q2,-3.2005618739999999,
IRL,QGDP,TOT,PC_CHGPP,Q,2020-Q3,11.053229439000001,
CHE,QGDP,TOT,PC_CHGPP,Q,2019-Q1,0.169915172,
CHE,QGDP,TOT,PC_CHGPP,Q,2019-Q2,0.370392471,
CHE,QGDP,TOT,PC_CHGPP,Q,2019-Q3,0.54174387599999996,
CHE,QGDP,TOT,PC_CHGPP,Q,2019-Q4,0.38979228500000002,
CHE,QGDP,TOT,PC_CHGPP,Q,2020-Q1,-1.731200029,
CHE,QGDP,TOT,PC_CHGPP,Q,2020-Q2,-7.0287007959999999,
CHE,QGDP,TOT,PC_CHGPP,Q,2020-Q3,7.1660232260000001,
