year,location,month,Monthly_new_cases,Monthly_total_cases,Percentage Growth Rate,PG_Rate
2020,China,1,9254.0,9802.0,,
2020,China,2,69554.0,79356.0,651.6101145450616,651.6101145450616
2020,China,3,2923.0,82279.0,-95.79750984846306,-95.79750984846306
2020,China,4,1677.0,83956.0,-42.62743756414642,-42.627437564146426
2020,China,5,190.0,84146.0,-88.67024448419798,-88.67024448419797
2020,China,6,639.0,84785.0,236.31578947368422,236.31578947368422
2020,China,7,2870.0,87655.0,349.1392801251957,349.1392801251956
2020,China,8,2259.0,89914.0,-21.289198606271782,-21.28919860627178
2020,China,9,631.0,90545.0,-72.0672864099159,-72.0672864099159
2020,China,10,821.0,91366.0,30.110935023771788,30.11093502377179
2020,China,11,1536.0,92902.0,87.08891595615103,87.08891595615104
2020,China,12,3061.0,95963.0,99.28385416666669,99.28385416666667
2020,Germany,1,5.0,5.0,-99.83665468801046,-99.83665468801046
2020,Germany,2,74.0,79.0,1380.0,1380.0
2020,Germany,3,71729.0,71808.0,96831.08108108108,96831.08108108108
2020,Germany,4,91201.0,163009.0,27.146621310766903,27.146621310766914
2020,Germany,5,20401.0,183410.0,-77.63072773324853,-77.63072773324853
2020,Germany,6,12008.0,195418.0,-41.140140189206406,-41.14014018920641
2020,Germany,7,14981.0,210399.0,24.7584943371086,24.758494337108594
2020,Germany,8,34403.0,244802.0,129.64421600694212,129.64421600694212
2020,Germany,9,48111.0,292913.0,39.84536232305322,39.84536232305322
2020,Germany,10,238877.0,531790.0,396.51223212986633,396.51223212986633
2020,Germany,11,538122.0,1069912.0,125.27158328344714,125.27158328344713
2020,Germany,12,690608.0,1760520.0,28.33669688286301,28.336696882862995
2020,India,1,1.0,1.0,-99.9998552000556,-99.9998552000556
2020,India,2,2.0,3.0,100.0,100.0
2020,India,3,1394.0,1397.0,69600.0,69600.0
2020,India,4,33466.0,34863.0,2300.717360114778,2300.7173601147774
2020,India,5,155746.0,190609.0,365.3857646566665,365.3857646566665
2020,India,6,394872.0,585481.0,153.53588535179074,153.53588535179074
2020,India,7,1110507.0,1695988.0,181.23214611317087,181.23214611317084
2020,India,8,1995178.0,3691166.0,79.66370315540559,79.6637031554056
2020,India,9,2621418.0,6312584.0,31.38767568607915,31.387675686079138
2020,India,10,1871498.0,8184082.0,-28.607417817379755,-28.607417817379755
2020,India,11,1278727.0,9462809.0,-31.67361119274507,-31.673611192745064
2020,India,12,803865.0,10266674.0,-37.13552619128242,-37.13552619128242
2020,Italy,1,2.0,2.0,-99.99975120200531,-99.99975120200531
2020,Italy,2,1126.0,1128.0,56200.0,56200.0
2020,Italy,3,104664.0,105792.0,9195.204262877442,9195.204262877442
2020,Italy,4,99671.0,205463.0,-4.770503707100815,-4.770503707100818
2020,Italy,5,27534.0,232997.0,-72.3751141254728,-72.3751141254728
2020,Italy,6,7581.0,240578.0,-72.46676835911964,-72.46676835911964
2020,Italy,7,6959.0,247537.0,-8.204722332146147,-8.204722332146154
2020,Italy,8,21677.0,269214.0,211.49590458399194,211.49590458399194
2020,Italy,9,45647.0,314861.0,110.57803201550033,110.5780320155003
2020,Italy,10,364569.0,679430.0,698.6702302451421,698.6702302451421
2020,Italy,11,922124.0,1601554.0,152.9353839739528,152.9353839739528
2020,Italy,12,505612.0,2107166.0,-45.16876255254174,-45.16876255254174
2020,United Kingdom,1,2.0,2.0,-99.99960443976805,-99.99960443976805
2020,United Kingdom,2,59.0,61.0,2850.0,2850.0
2020,United Kingdom,3,38754.0,38815.0,65584.74576271186,65584.74576271187
2020,United Kingdom,4,139956.0,178771.0,261.1394952779068,261.1394952779068
2020,United Kingdom,5,78768.0,257539.0,-43.719454685758386,-43.71945468575838
2020,United Kingdom,6,27677.0,285216.0,-64.8626345724152,-64.86263457241519
2020,United Kingdom,7,19577.0,304793.0,-29.266177692669004,-29.266177692669004
2020,United Kingdom,8,33290.0,338083.0,70.04648311794452,70.04648311794453
2020,United Kingdom,9,117763.0,455846.0,253.74887353559626,253.7488735355963
2020,United Kingdom,10,558947.0,1014793.0,374.6371950442839,374.6371950442839
2020,United Kingdom,11,618940.0,1633733.0,10.733217997413007,10.733217997412993
2020,United Kingdom,12,862498.0,2496231.0,39.35082560506672,39.350825605066724
2020,United States,1,7.0,8.0,-99.99918840391514,-99.99918840391514
2020,United States,2,17.0,25.0,142.85714285714283,142.85714285714286
2020,United States,3,192152.0,192177.0,1130205.8823529412,1130205.8823529412
2020,United States,4,888708.0,1080885.0,362.5026021066655,362.50260210666556
2020,United States,5,717846.0,1798731.0,-19.225887468099756,-19.22588746809976
2020,United States,6,843041.0,2641772.0,17.440370218682006,17.440370218682002
2020,United States,7,1924684.0,4566456.0,128.3025380734745,128.3025380734745
2020,United States,8,1458899.0,6025355.0,-24.20059604589636,-24.200596045896365
2020,United States,9,1206247.0,7231602.0,-17.31799117005359,-17.31799117005358
2020,United States,10,1926777.0,9158379.0,59.73320555408634,59.733205554086354
2020,United States,11,4496140.0,13654519.0,133.35030467978393,133.3503046797839
2020,United States,12,6406076.0,20060595.0,42.47946015915875,42.47946015915875
